Sector:,Liquid Propane Gas (LPG),,SRGC Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SRGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/ETHGC,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 10,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
30-Jan-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 30, 2013"
6-Feb-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 6, 2013"
13-Feb-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 13, 2013"
20-Feb-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 20,203"
27-Feb-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 27, 2013"
6-Mar-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 6, 2013"
13-Mar-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 13, 2014"
20-Mar-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 20,2013"
27-Mar-13,0,0,0,0,0,0,missing
3-Apr-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 3, 2013 "
10-Apr-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 10, 2013"
17-Apr-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 17, 2013"
24-Apr-13,0,0,0,0,0,0,missing
1-May-13,0,0,0,0,0,0,missing
8-May-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 8, 2013"
15-May-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 15, 2013"
22-May-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 22, 2013"
29-May-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 29, 2013"
5-Jun-13,0,0,0,0,0,0,missing
12-Jun-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 12, 2013"
19-Jun-13,0,0,0,0,0,0,missing
26-Jun-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 26, 2013"
3-Jul-13,0,0,0,0,0,0,missing
10-Jul-13,0,0,0,0,0,0,missing
17-Jul-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 17, 2013"
24-Jul-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 24, 2013"
31-Jul-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 31, 2013"
7-Aug-13,0,0,0,0,0,0,missing
14-Aug-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 14, 2013"
21-Aug-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 21, 2013"
28-Aug-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 28, 2013"
4-Sep-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 4, 2013"
11-Sep-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 11, 2013"
18-Sep-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 18, 2013"
25-Sep-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 25, 2013"
2-Oct-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 2, 2013"
9-Oct-13,0,0,0,0,0,0,Missing
16-Oct-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 16, 2013"
23-Oct-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 23, 2013"
30-Oct-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 30, 2013"
6-Nov-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 6, 2013"
13-Nov-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 17, 2013 "
20-Nov-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 24, 2013"
27-Nov-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 27, 2013"
4-Dec-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 4, 2013"
11-Dec-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 11, 2013 "
18-Dec-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 18, 2013"
25-Dec-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 27, 2013"
1-Jan-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 2, 2014"
8-Jan-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 8, 2014"
15-Jan-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 15, 2014"
22-Jan-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 22, 2014"
29-Jan-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 29, 2014"
5-Feb-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 5, 2014"
12-Feb-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 12, 2014"
19-Feb-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 19, 2015"
26-Feb-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 26, 2014 "
5-Mar-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 5, 2014"
12-Mar-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 12, 2014 "
19-Mar-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 19, 2014"
26-Mar-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 26, 2014 "
2-Apr-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 2, 2014"
9-Apr-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 9, 2014"
16-Apr-14,0,0,0,0,0,0,Missing
23-Apr-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 23, 2014"
30-Apr-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 30, 2014"
7-May-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 7, 2014"
14-May-14,0,0,0,0,0,0,Missing
21-May-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 21, 2014"
28-May-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 28, 2014"
4-Jun-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June, 4, 2014"
11-Jun-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 11, 2014 "
18-Jun-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 18, 2014"
25-Jun-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 25, 2014"
2-Jul-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 2, 2014"
9-Jul-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 9, 2014"
16-Jul-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 16,2014"
23-Jul-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 23, 2014"
30-Jul-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 30, 2014"
6-Aug-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 6, 2014"
13-Aug-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 13, 2014"
20-Aug-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 20, 2014"
27-Aug-14,0,0,0,0,0,0,Missing 
3-Sep-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 3, 2014"
10-Sep-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 10, 2014"
17-Sep-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 17, 2014"
24-Sep-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 24, 2014"
1-Oct-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 1, 2014"
8-Oct-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 8, 2014"
15-Oct-14,0,0,0,0,0,0,Missing
22-Oct-14,0,0,0,0,0,0,Missing
29-Oct-14,0,0,0,0,0,0,Missing
5-Nov-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 5, 2014"
12-Nov-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 12, 2014"
19-Nov-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 19, 2014"
26-Nov-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 26, 2014"
3-Dec-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 3, 2014"
10-Dec-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 10, 2014"
17-Dec-14,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 17, 2014"
24-Dec-14,0,0,0,0,0,0,missing
31-Dec-14,0,0,0,0,0,0,missing
7-Jan-15,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 7, 2015"
14-Jan-15,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 14, 2015"
21-Jan-15,0,0,0,0,0,0,
28-Jan-15,0,0,0,0,0,0,
4-Feb-15,0,0,0,0,0,0,
11-Feb-15,0,0,0,0,0,0,
18-Feb-15,0,0,0,0,0,0,
25-Feb-15,0,0,0,0,0,0,
4-Mar-15,0,0,0,0,0,0,
11-Mar-15,0,0,0,0,0,0,
18-Mar-15,0,0,0,0,0,0,
25-Mar-15,0,0,0,0,0,0,
1-Apr-15,0,0,0,0,0,0,
8-Apr-15,0,0,0,0,0,0,
15-Apr-15,0,0,0,0,0,0,
22-Apr-15,0,0,0,0,0,0,
29-Apr-15,0,0,0,0,0,0,
6-May-15,0,0,0,0,0,0,
13-May-15,0,0,0,0,0,0,
20-May-15,0,0,0,0,0,0,
27-May-15,0,0,0,0,0,0,
3-Jun-15,0,0,0,0,0,0,
10-Jun-15,0,0,0,0,0,0,
17-Jun-15,0,0,0,0,0,0,
24-Jun-15,0,0,0,0,0,0,
1-Jul-15,0,0,0,0,0,0,
8-Jul-15,0,0,0,0,0,0,
15-Jul-15,0,0,0,0,0,0,
22-Jul-15,0,0,0,0,0,0,
