Quandl:,LNG_R/CONV_V
Analysis LNG Fleet ,,,,,,,,,,
Date,LNG Spot Rate,LNG Fleet No. Vessels,LNG Fleet CBM,LNG New Orders,LNG Orderbook,LNG Deliveries,LNG Demolition and Removals,LNG Production,LNG Removals,
2005-4-31,44000
2006-3-30,45000
2006-6-30,62000
2006-9-30,80000
2006-12-31,91000
2007-3-31,78000
2007-6-30,59000
2007-9-30,68000
2007-12-31,62000
2008-3-31,63000
