Quandl Code|Date|PMT|TCE
 OTKR_R/VLCC_TD3_TCE|2000-Apr-26|10.51| 41,180 
 OTKR_R/VLCC_TD3_TCE|2000-Apr-27|10.29| 39,929 
 OTKR_R/VLCC_TD3_TCE|2000-Apr-28|10.29| 39,819 
 OTKR_R/VLCC_TD3_TCE|2000-May-02|10.18| 39,139 
 OTKR_R/VLCC_TD3_TCE|2000-May-03|10.40| 40,172 
 OTKR_R/VLCC_TD3_TCE|2000-May-04|10.40| 40,063 
 OTKR_R/VLCC_TD3_TCE|2000-May-05|10.51| 40,525 
 OTKR_R/VLCC_TD3_TCE|2000-May-08|10.51| 40,416 
 OTKR_R/VLCC_TD3_TCE|2000-May-09|10.83| 42,019 
 OTKR_R/VLCC_TD3_TCE|2000-May-10|10.83| 41,910 
 OTKR_R/VLCC_TD3_TCE|2000-May-11|10.40| 39,517 
 OTKR_R/VLCC_TD3_TCE|2000-May-12|10.18| 38,266 
 OTKR_R/VLCC_TD3_TCE|2000-May-15|10.51| 39,870 
 OTKR_R/VLCC_TD3_TCE|2000-May-16|10.61| 40,513 
 OTKR_R/VLCC_TD3_TCE|2000-May-17|10.72| 41,157 
 OTKR_R/VLCC_TD3_TCE|2000-May-18|10.93| 42,372 
 OTKR_R/VLCC_TD3_TCE|2000-May-19|11.04| 43,016 
 OTKR_R/VLCC_TD3_TCE|2000-May-22|11.58| 45,943 
 OTKR_R/VLCC_TD3_TCE|2000-May-23|12.11| 48,871 
 OTKR_R/VLCC_TD3_TCE|2000-May-24|12.22| 49,515 
 OTKR_R/VLCC_TD3_TCE|2000-May-25|12.33| 50,159 
 OTKR_R/VLCC_TD3_TCE|2000-May-26|12.33| 50,231 
 OTKR_R/VLCC_TD3_TCE|2000-May-30|12.22| 49,733 
 OTKR_R/VLCC_TD3_TCE|2000-May-31|12.22| 49,806 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-01|12.11| 49,308 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-02|12.11| 49,381 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-05|12.11| 49,453 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-06|12.01| 48,955 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-07|12.01| 49,028 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-08|12.01| 49,101 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-09|12.01| 49,173 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-12|11.90| 48,675 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-13|11.90| 48,748 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-14|11.68| 47,679 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-15|11.79| 48,323 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-16|11.79| 48,395 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-19|11.79| 48,468 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-20|11.79| 48,541 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-21|11.90| 49,185 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-22|11.90| 49,257 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-23|11.79| 48,759 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-26|11.79| 48,832 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-27|11.68| 48,334 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-28|11.79| 48,977 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-29|11.79| 49,050 
 OTKR_R/VLCC_TD3_TCE|2000-Jun-30|11.79| 49,123 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-03|11.68| 48,625 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-04|11.68| 48,698 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-05|11.58| 48,199 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-06|11.58| 48,272 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-07|11.47| 47,774 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-10|11.47| 47,847 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-11|11.47| 47,919 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-12|11.36| 47,349 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-13|11.26| 46,778 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-14|11.26| 46,778 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-17|11.36| 47,349 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-18|11.36| 47,349 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-19|11.36| 47,298 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-20|11.68| 48,960 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-21|11.68| 48,909 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-24|11.68| 48,858 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-25|12.22| 51,662 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-26|12.44| 52,753 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-27|12.54| 53,273 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-28|12.76| 54,364 
 OTKR_R/VLCC_TD3_TCE|2000-Jul-31|12.76| 54,313 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-01|12.86| 54,833 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-02|12.86| 54,782 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-03|12.65| 53,589 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-04|12.76| 54,109 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-07|13.08| 55,771 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-08|13.29| 56,862 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-09|13.72| 59,095 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-10|14.36| 62,470 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-11|15.44| 68,129 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-14|15.76| 69,791 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-15|16.40| 73,166 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-16|17.04| 76,541 
