Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
14-Jan-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 14, 2009 ( Demoltion 2 LPGs 59000 & 52250)"
21-Jan-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 21, 2009"
28-Jan-09,0,0,0,0,0,0,missing
4-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 4, 2009"
11-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 11, 2009 (Demoliton 2 LPGs 70706 & 6133"
18-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 18, 2009"
25-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 25, 2009"
4-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 4, 2009 (Demolition 2 LPGs 70700 & 37300"
11-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 11, 2009"
18-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 18, 2009"
25-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 25, 2009"
1-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 1, 2009 ( Gas and Heat 4 3360 2010"
8-Apr-09,0,0,0,0,0,0,Missing
15-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 15, 2009"
22-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 22, 2009"
