Date,Spot Market ($/day)
13-Jun-12,"$25,667"
20-Jun-12,"$25,667"
27-Jun-12,"$27,000"
4-Jul-12,"$27,333"
11-Jul-12,"$27,333"
18-Jul-12,"$27,333"
25-Jul-12,"$27,333"
1-Aug-12,"$27,333"
8-Aug-12,"$28,667"
15-Aug-12,"$28,667"
22-Aug-12,"$28,667"
29-Aug-12,"$29,333"
5-Sep-12,"$29,333"
12-Sep-12,"$29,667"
19-Sep-12,"$30,000"
26-Sep-12,"$30,000"
3-Oct-12,"$30,000"
10-Oct-12,"$30,000"
17-Oct-12,"$30,000"
24-Oct-12,"$30,000"
31-Oct-12,"$30,333"
7-Nov-12,"$30,333"
14-Nov-12,"$30,333"
21-Nov-12,"$30,333"
28-Nov-12,"$30,333"
5-Dec-12,"$30,333"
12-Dec-12,"$30,333"
19-Dec-12,"$30,333"
26-Dec-12,#N/A
2-Jan-13,"$31,000"
9-Jan-13,"$31,000"
16-Jan-13,"$31,000"
23-Jan-13,"$31,000"
30-Jan-13,"$31,000"
6-Feb-13,"$30,667"
13-Feb-13,"$30,667"
20-Feb-13,"$30,667"
27-Feb-13,"$30,667"
6-Mar-13,"$30,667"
13-Mar-13,"$30,000"
20-Mar-13,"$30,000"
27-Mar-13,#N/A
3-Apr-13,"$30,000"
10-Apr-13,"$29,333"
17-Apr-13,"$29,333"
24-Apr-13,"$29,333"
1-May-13,#N/A
8-May-13,"$30,333"
15-May-13,"$31,000"
22-May-13,"$31,000"
29-May-13,"$31,333"
5-Jun-13,"$31,333"
12-Jun-13,"$31,333"
19-Jun-13,"$30,667"
26-Jun-13,"$30,667"
3-Jul-13,"$30,667"
10-Jul-13,"$30,667"
17-Jul-13,"$30,667"
24-Jul-13,"$30,667"
31-Jul-13,"$30,667"
7-Aug-13,"$30,667"
14-Aug-13,"$30,667"
21-Aug-13,"$30,667"
28-Aug-13,"$30,667"
4-Sep-13,"$30,667"
11-Sep-13,"$30,667"
18-Sep-13,"$30,667"
25-Sep-13,"$30,667"
2-Oct-13,"$30,333"
9-Oct-13,"$30,333"
16-Oct-13,"$30,667"
23-Oct-13,"$30,667"
30-Oct-13,"$30,000"
6-Nov-13,#N/A
13-Nov-13,"$30,667"
20-Nov-13,"$31,000"
27-Nov-13,"$31,000"
4-Dec-13,"$31,000"
11-Dec-13,"$31,000"
18-Dec-13,"$32,333"
25-Dec-13,#N/A
1-Jan-14,#N/A
8-Jan-14,"$32,667"
15-Jan-14,"$32,667"
22-Jan-14,"$32,667"
29-Jan-14,"$32,667"
5-Feb-14,"$32,667"
12-Feb-14,"$32,667"
19-Feb-14,"$32,667"
26-Feb-14,"$32,667"
5-Mar-14,"$31,667"
12-Mar-14,"$31,667"
19-Mar-14,"$31,667"
