Sector:,Liquified Propane Gas (LPG),EGC-FR Master Rates,,,
Input Sheet:,Rate Data,,,,
Fleet:,EGC-Ethanol Carriers,,,,
Frequency:,Weekly (Friday),,,,
Quandl:,LPG_R/ETHGC,,,,
,,,,,
Conventions,,,,,
  Data are as of close of business on Fridays.,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,
  A price of $0 normally means no data for that date.,,,,,
,,,,,
,,,,,
Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
7/25/2012,"$20,000 ",$0 ,$0 ,$0 ,
8/1/2012,"$20,000 ",$0 ,$0 ,$0 ,
8/8/2012,"$20,333 ",$0 ,$0 ,$0 ,
8/15/2012,"$20,333 ",$0 ,$0 ,$0 ,
8/22/2012,"$19,667 ",$0 ,$0 ,$0 ,
8/29/2012,"$19,667 ",$0 ,$0 ,$0 ,
9/5/2012,"$19,667 ",$0 ,$0 ,$0 ,
9/12/2012,"$20,000 ",$0 ,$0 ,$0 ,
9/19/2012,"$20,000 ",$0 ,$0 ,$0 ,
9/26/2012,"$20,000 ",$0 ,$0 ,$0 ,
10/3/2012,"$19,333 ",$0 ,$0 ,$0 ,
10/10/2012,"$19,333 ",$0 ,$0 ,$0 ,
10/17/2012,"$19,333 ",$0 ,$0 ,$0 ,
10/24/2012,"$19,667 ",$0 ,$0 ,$0 ,
10/31/2012,"$20,000 ",$0 ,$0 ,$0 ,
11/7/2012,"$20,000 ",$0 ,$0 ,$0 ,
11/14/2012,"$20,000 ",$0 ,$0 ,$0 ,
11/21/2012,"$20,000 ",$0 ,$0 ,$0 ,
11/28/2012,"$20,000 ",$0 ,$0 ,$0 ,
12/5/2012,"$20,000 ",$0 ,$0 ,$0 ,
12/12/2012,"$19,000 ",$0 ,$0 ,$0 ,
12/19/2012,"$19,000 ",$0 ,$0 ,$0 ,
1/2/2013,"$19,000 ",$0 ,$0 ,$0 ,
1/9/2013,"$19,000 ",$0 ,$0 ,$0 ,
1/16/2013,"$19,000 ",$0 ,$0 ,$0 ,
1/23/2013,"$19,000 ",$0 ,$0 ,$0 ,
1/30/2013,"$19,000 ",$0 ,$0 ,$0 ,
2/6/2013,"$19,000 ",$0 ,$0 ,$0 ,
2/13/2013,"$19,000 ",$0 ,$0 ,$0 ,
2/20/2013,"$19,000 ",$0 ,$0 ,$0 ,
2/27/2013,"$19,000 ",$0 ,$0 ,$0 ,
3/6/2013,"$19,000 ",$0 ,$0 ,$0 ,
3/13/2013,"$19,000 ",$0 ,$0 ,$0 ,
3/20/2013,"$18,667 ",$0 ,$0 ,$0 ,
4/3/2013,"$18,667 ",$0 ,$0 ,$0 ,
4/10/2013,"$18,667 ",$0 ,$0 ,$0 ,
4/17/2013,"$18,333 ",$0 ,$0 ,$0 ,
4/24/2013,"$18,667 ",$0 ,$0 ,$0 ,
5/8/2013,"$18,667 ",$0 ,$0 ,$0 ,
5/9/2013,"$20,667 ",$0 ,$0 ,$0 ,
5/15/2013,"$19,000 ",$0 ,$0 ,$0 ,
5/22/2013,"$19,000 ",$0 ,$0 ,$0 ,
5/29/2013,"$19,000 ",$0 ,$0 ,$0 ,
6/5/2013,"$19,000 ",$0 ,$0 ,$0 ,
6/12/2013,"$19,000 ",$0 ,$0 ,$0 ,
6/19/2013,"$18,333 ",$0 ,$0 ,$0 ,
6/26/2013,"$18,333 ",$0 ,$0 ,$0 ,
7/3/2013,"$18,333 ",$0 ,$0 ,$0 ,
7/10/2013,"$18,333 ",$0 ,$0 ,$0 ,
7/17/2013,"$18,333 ",$0 ,$0 ,$0 ,
7/24/2013,"$19,000 ",$0 ,$0 ,$0 ,
7/31/2013,"$19,000 ",$0 ,$0 ,$0 ,
8/7/2013,"$18,333 ",$0 ,$0 ,$0 ,
8/14/2013,"$17,667 ",$0 ,$0 ,$0 ,
8/21/2013,"$17,667 ",$0 ,$0 ,$0 ,
8/28/2013,"$17,667 ",$0 ,$0 ,$0 ,
9/4/2013,"$17,667 ",$0 ,$0 ,$0 ,
9/11/2013,"$17,667 ",$0 ,$0 ,$0 ,
9/18/2013,"$17,333 ",$0 ,$0 ,$0 ,
9/25/2013,"$17,333 ",$0 ,$0 ,$0 ,
10/2/2013,"$17,000 ",$0 ,$0 ,$0 ,
10/9/2013,"$17,000 ",$0 ,$0 ,$0 ,
10/16/2013,"$17,333 ",$0 ,$0 ,$0 ,
10/23/2013,"$17,333 ",$0 ,$0 ,$0 ,
10/30/2013,"$17,333 ",$0 ,$0 ,$0 ,
              11/06/2013,"$17,667 ",$0 ,$0 ,$0 ,
11/13/2013,"$17,667 ",$0 ,$0 ,$0 ,
11/20/2013,"$17,667 ",$0 ,$0 ,$0 ,
11/27/2013,"$17,667 ",$0 ,$0 ,$0 ,
12/4/2013,"$17,667 ",$0 ,$0 ,$0 ,
12/11/2013,"$17,667 ",$0 ,$0 ,$0 ,
12/18/2013,"$17,667 ",$0 ,$0 ,$0 ,
12/27/2013,"$17,667 ",$0 ,$0 ,$0 ,
1/2/2014,"$17,667 ",$0 ,$0 ,$0 ,
1/8/2014,"$17,667 ",$0 ,$0 ,$0 ,
1/15/2014,"$17,667 ",$0 ,$0 ,$0 ,
1/22/2014,"$17,667 ",$0 ,$0 ,$0 ,
1/29/2014,"$17,667 ",$0 ,$0 ,$0 ,
2/5/2014,"$17,667 ",$0 ,$0 ,$0 ,
2/12/2014,"$17,667 ",$0 ,$0 ,$0 ,
2/19/2014,"$18,333 ",$0 ,$0 ,$0 ,
2/26/2014,"$18,333 ",$0 ,$0 ,$0 ,
3/5/2014,"$19,000 ",$0 ,$0 ,$0 ,
3/12/2014,"$19,000 ",$0 ,$0 ,$0 ,
3/19/2014,"$19,333 ",$0 ,$0 ,$0 ,
3/26/2014,"$20,000 ",$0 ,$0 ,$0 ,
4/2/2014,"$20,000 ",$0 ,$0 ,$0 ,
4/9/2014,"$20,000 ",$0 ,$0 ,$0 ,
4/16/2014,"$20,000 ",$0 ,$0 ,$0 ,
4/23/2014,"$20,000 ",$0 ,$0 ,$0 ,
4/30/2014,"$20,000 ",$0 ,$0 ,$0 ,
5/7/2014,"$20,000 ",$0 ,$0 ,$0 ,
5/14/2014,"$19,333 ",$0 ,$0 ,$0 ,
5/21/2014,"$19,333 ",$0 ,$0 ,$0 ,
5/28/2014,"$19,333 ",$0 ,$0 ,$0 ,
6/4/2014,"$19,333 ",$0 ,$0 ,$0 ,
6/11/2014,"$18,667 ",$0 ,$0 ,$0 ,
6/18/2014,"$18,000 ",$0 ,$0 ,$0 ,
6/25/2014,"$18,000 ",$0 ,$0 ,$0 ,
7/2/2014,"$18,000 ",$0 ,$0 ,$0 ,
7/9/2014,"$18,000 ",$0 ,$0 ,$0 ,
