Sector:,Liquid Propane Gas (LPG),,SGC-SR Small Gas Carriers,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/SGC_SR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 6,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
15-Feb-06,0,0,0,0,1,"18,000","Fearnley Weekly Report pdf dated February 15, 2006 ( Hartmann 1 LPG 18000 date n/a / Petredec 1 22500 LPG 2008 / Cido 2 LPG 35000 2009) "
22-Feb-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 22, 2006 ( Pretredec 1+1 LPG 22500 2009) (Demolition LPG 75746) "
1-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 1, 2006"
8-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 8, 2006 (Solvang 1+1 LPG 75000 2008 / Neu Seeschiffahrt 1+1 LPG 75000 2009)"
15-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 15, 2006 "
22-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 22, 2006"
29-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 29, 2006"
5-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 5, 2006"
12-Apr-06,0,0,0,0,0,0,mising
19-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 19, 2006"
26-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 26, 2006"
3-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 3, 2006 ( Harpain 4+2 Eth/LPG 16800 2008/2009 / Solvang 1 LPG 75000 2008)"
10-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 10, 2006 (Petredec 1 LPG 22500 2008)"
17-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 17, 2006 (Yuyo Steamship 1 LPG 48000dwt 2009)"
