Quandl Code|Date|Value
VLCC_TD3_DBBL|2000-Jun-23|1.57
VLCC_TD3_DBBL|2000-Jun-26|1.57
VLCC_TD3_DBBL|2000-Jun-27|1.56
VLCC_TD3_DBBL|2000-Jun-28|1.57
VLCC_TD3_DBBL|2000-Jun-29|1.57
VLCC_TD3_DBBL|2000-Jun-30|1.57
VLCC_TD3_DBBL|2000-Jul-03|1.56
VLCC_TD3_DBBL|2000-Jul-04|1.56
VLCC_TD3_DBBL|2000-Jul-05|1.54
VLCC_TD3_DBBL|2000-Jul-06|1.54
VLCC_TD3_DBBL|2000-Jul-07|1.53
VLCC_TD3_DBBL|2000-Jul-10|1.53
VLCC_TD3_DBBL|2000-Jul-11|1.53
VLCC_TD3_DBBL|2000-Jul-12|1.52
VLCC_TD3_DBBL|2000-Jul-13|1.5
VLCC_TD3_DBBL|2000-Jul-14|1.5
VLCC_TD3_DBBL|2000-Jul-17|1.52
VLCC_TD3_DBBL|2000-Jul-18|1.52
VLCC_TD3_DBBL|2000-Jul-19|1.52
VLCC_TD3_DBBL|2000-Jul-20|1.56
VLCC_TD3_DBBL|2000-Jul-21|1.56
VLCC_TD3_DBBL|2000-Jul-24|1.56
VLCC_TD3_DBBL|2000-Jul-25|1.63
VLCC_TD3_DBBL|2000-Jul-26|1.66
VLCC_TD3_DBBL|2000-Jul-27|1.67
VLCC_TD3_DBBL|2000-Jul-28|1.7
VLCC_TD3_DBBL|2000-Jul-31|1.7
VLCC_TD3_DBBL|2000-Aug-01|1.72
VLCC_TD3_DBBL|2000-Aug-02|1.72
VLCC_TD3_DBBL|2000-Aug-03|1.69
VLCC_TD3_DBBL|2000-Aug-04|1.7
VLCC_TD3_DBBL|2000-Aug-07|1.74
VLCC_TD3_DBBL|2000-Aug-08|1.77
VLCC_TD3_DBBL|2000-Aug-09|1.83
VLCC_TD3_DBBL|2000-Aug-10|1.92
VLCC_TD3_DBBL|2000-Aug-11|2.06
VLCC_TD3_DBBL|2000-Aug-14|2.1
VLCC_TD3_DBBL|2000-Aug-15|2.19
VLCC_TD3_DBBL|2000-Aug-16|2.27
VLCC_TD3_DBBL|2000-Aug-17|2.27
VLCC_TD3_DBBL|2000-Aug-18|2.24
VLCC_TD3_DBBL|2000-Aug-21|2.26
VLCC_TD3_DBBL|2000-Aug-22|2.24
VLCC_TD3_DBBL|2000-Aug-23|2.23
VLCC_TD3_DBBL|2000-Aug-24|2.23
VLCC_TD3_DBBL|2000-Aug-25|2.19
VLCC_TD3_DBBL|2000-Aug-29|2.16
VLCC_TD3_DBBL|2000-Aug-30|2.17
VLCC_TD3_DBBL|2000-Aug-31|2.13
VLCC_TD3_DBBL|2000-Sep-01|2.09
VLCC_TD3_DBBL|2000-Sep-04|2.06
VLCC_TD3_DBBL|2000-Sep-05|2.02
VLCC_TD3_DBBL|2000-Sep-06|2
VLCC_TD3_DBBL|2000-Sep-07|1.99
VLCC_TD3_DBBL|2000-Sep-08|1.89
VLCC_TD3_DBBL|2000-Sep-11|1.89
VLCC_TD3_DBBL|2000-Sep-12|1.9
