Quandl Code|Date|Value
OTNK/VLCC_TD3_TCE|2000-Jun-02|49,381
OTNK/VLCC_TD3_TCE|2000-Jun-05|49,453
OTNK/VLCC_TD3_TCE|2000-Jun-06|48,955
OTNK/VLCC_TD3_TCE|2000-Jun-07|49,028
OTNK/VLCC_TD3_TCE|2000-Jun-08|49,101
OTNK/VLCC_TD3_TCE|2000-Jun-09|49,173
OTNK/VLCC_TD3_TCE|2000-Jun-12|48,675
OTNK/VLCC_TD3_TCE|2000-Jun-13|48,748
OTNK/VLCC_TD3_TCE|2000-Jun-14|47,679
OTNK/VLCC_TD3_TCE|2000-Jun-15|48,323
OTNK/VLCC_TD3_TCE|2000-Jun-16|48,395
OTNK/VLCC_TD3_TCE|2000-Jun-19|48,468
OTNK/VLCC_TD3_TCE|2000-Jun-20|48,541
OTNK/VLCC_TD3_TCE|2000-Jun-21|49,185
OTNK/VLCC_TD3_TCE|2000-Jun-22|49,257
OTNK/VLCC_TD3_TCE|2000-Jun-23|48,759
OTNK/VLCC_TD3_TCE|2000-Jun-26|48,832
OTNK/VLCC_TD3_TCE|2000-Jun-27|48,334
OTNK/VLCC_TD3_TCE|2000-Jun-28|48,977
OTNK/VLCC_TD3_TCE|2000-Jun-29|49,050
OTNK/VLCC_TD3_TCE|2000-Jun-30|49,123
OTNK/VLCC_TD3_TCE|2000-Jul-03|48,625
OTNK/VLCC_TD3_TCE|2000-Jul-04|48,698
OTNK/VLCC_TD3_TCE|2000-Jul-05|48,199
OTNK/VLCC_TD3_TCE|2000-Jul-06|48,272
OTNK/VLCC_TD3_TCE|2000-Jul-07|47,774
OTNK/VLCC_TD3_TCE|2000-Jul-10|47,847
OTNK/VLCC_TD3_TCE|2000-Jul-11|47,919
OTNK/VLCC_TD3_TCE|2000-Jul-12|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-13|46,778
OTNK/VLCC_TD3_TCE|2000-Jul-14|46,778
OTNK/VLCC_TD3_TCE|2000-Jul-17|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-18|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-19|47,298
OTNK/VLCC_TD3_TCE|2000-Jul-20|48,960
OTNK/VLCC_TD3_TCE|2000-Jul-21|48,909
OTNK/VLCC_TD3_TCE|2000-Jul-24|48,858
OTNK/VLCC_TD3_TCE|2000-Jul-25|51,662
OTNK/VLCC_TD3_TCE|2000-Jul-26|52,753
OTNK/VLCC_TD3_TCE|2000-Jul-27|53,273
OTNK/VLCC_TD3_TCE|2000-Jul-28|54,364
OTNK/VLCC_TD3_TCE|2000-Jul-31|54,313
OTNK/VLCC_TD3_TCE|2000-Aug-01|54,833
OTNK/VLCC_TD3_TCE|2000-Aug-02|54,782
OTNK/VLCC_TD3_TCE|2000-Aug-03|53,589
OTNK/VLCC_TD3_TCE|2000-Aug-04|54,109
OTNK/VLCC_TD3_TCE|2000-Aug-07|55,771
OTNK/VLCC_TD3_TCE|2000-Aug-08|56,862
OTNK/VLCC_TD3_TCE|2000-Aug-09|59,095
OTNK/VLCC_TD3_TCE|2000-Aug-10|62,470
OTNK/VLCC_TD3_TCE|2000-Aug-11|68,129
OTNK/VLCC_TD3_TCE|2000-Aug-14|69,791
OTNK/VLCC_TD3_TCE|2000-Aug-15|73,166
OTNK/VLCC_TD3_TCE|2000-Aug-16|76,541
OTNK/VLCC_TD3_TCE|2000-Aug-17|76,490
OTNK/VLCC_TD3_TCE|2000-Aug-18|75,297
OTNK/VLCC_TD3_TCE|2000-Aug-21|75,817
OTNK/VLCC_TD3_TCE|2000-Aug-22|75,195
OTNK/VLCC_TD3_TCE|2000-Aug-23|74,573
OTNK/VLCC_TD3_TCE|2000-Aug-24|74,522
OTNK/VLCC_TD3_TCE|2000-Aug-25|72,802
OTNK/VLCC_TD3_TCE|2000-Aug-29|71,660
OTNK/VLCC_TD3_TCE|2000-Aug-30|72,231
OTNK/VLCC_TD3_TCE|2000-Aug-31|70,518
OTNK/VLCC_TD3_TCE|2000-Sep-01|68,805
OTNK/VLCC_TD3_TCE|2000-Sep-04|67,663
OTNK/VLCC_TD3_TCE|2000-Sep-05|65,950
OTNK/VLCC_TD3_TCE|2000-Sep-06|65,306
OTNK/VLCC_TD3_TCE|2000-Sep-07|64,663
OTNK/VLCC_TD3_TCE|2000-Sep-08|60,593
OTNK/VLCC_TD3_TCE|2000-Sep-11|60,520
OTNK/VLCC_TD3_TCE|2000-Sep-12|61,018
OTNK/VLCC_TD3_TCE|2000-Sep-13|60,946
OTNK/VLCC_TD3_TCE|2000-Sep-14|60,873
OTNK/VLCC_TD3_TCE|2000-Sep-15|63,084
OTNK/VLCC_TD3_TCE|2000-Sep-18|64,724
OTNK/VLCC_TD3_TCE|2000-Sep-19|65,793
OTNK/VLCC_TD3_TCE|2000-Sep-20|66,292
OTNK/VLCC_TD3_TCE|2000-Sep-21|69,645
OTNK/VLCC_TD3_TCE|2000-Sep-22|71,321
OTNK/VLCC_TD3_TCE|2000-Sep-25|72,427
OTNK/VLCC_TD3_TCE|2000-Sep-26|72,391
OTNK/VLCC_TD3_TCE|2000-Sep-27|68,357
OTNK/VLCC_TD3_TCE|2000-Sep-28|67,750
OTNK/VLCC_TD3_TCE|2000-Sep-29|66,572
OTNK/VLCC_TD3_TCE|2000-Oct-02|66,535
OTNK/VLCC_TD3_TCE|2000-Oct-03|65,357
OTNK/VLCC_TD3_TCE|2000-Oct-04|64,749
OTNK/VLCC_TD3_TCE|2000-Oct-05|63,571
OTNK/VLCC_TD3_TCE|2000-Oct-06|58,505
OTNK/VLCC_TD3_TCE|2000-Oct-09|58,007
OTNK/VLCC_TD3_TCE|2000-Oct-10|54,654
OTNK/VLCC_TD3_TCE|2000-Oct-11|51,872
OTNK/VLCC_TD3_TCE|2000-Oct-12|51,944
OTNK/VLCC_TD3_TCE|2000-Oct-13|52,588
OTNK/VLCC_TD3_TCE|2000-Oct-16|53,803
OTNK/VLCC_TD3_TCE|2000-Oct-17|59,014
OTNK/VLCC_TD3_TCE|2000-Oct-18|67,081
OTNK/VLCC_TD3_TCE|2000-Oct-19|71,078
OTNK/VLCC_TD3_TCE|2000-Oct-20|76,217
OTNK/VLCC_TD3_TCE|2000-Oct-23|80,785
OTNK/VLCC_TD3_TCE|2000-Oct-24|84,210
OTNK/VLCC_TD3_TCE|2000-Oct-25|84,781
OTNK/VLCC_TD3_TCE|2000-Oct-26|81,356
OTNK/VLCC_TD3_TCE|2000-Oct-27|81,356
OTNK/VLCC_TD3_TCE|2000-Oct-30|80,785
OTNK/VLCC_TD3_TCE|2000-Oct-31|81,356
OTNK/VLCC_TD3_TCE|2000-Nov-01|80,785
OTNK/VLCC_TD3_TCE|2000-Nov-02|81,927
OTNK/VLCC_TD3_TCE|2000-Nov-03|81,927
OTNK/VLCC_TD3_TCE|2000-Nov-06|82,498
OTNK/VLCC_TD3_TCE|2000-Nov-07|82,498
OTNK/VLCC_TD3_TCE|2000-Nov-08|81,927
OTNK/VLCC_TD3_TCE|2000-Nov-09|79,861
OTNK/VLCC_TD3_TCE|2000-Nov-10|80,650
OTNK/VLCC_TD3_TCE|2000-Nov-13|81,440
OTNK/VLCC_TD3_TCE|2000-Nov-14|83,371
OTNK/VLCC_TD3_TCE|2000-Nov-15|87,586
OTNK/VLCC_TD3_TCE|2000-Nov-16|88,375
OTNK/VLCC_TD3_TCE|2000-Nov-17|90,307
OTNK/VLCC_TD3_TCE|2000-Nov-20|92,238
OTNK/VLCC_TD3_TCE|2000-Nov-21|92,456
OTNK/VLCC_TD3_TCE|2000-Nov-22|92,674
OTNK/VLCC_TD3_TCE|2000-Nov-23|92,893
OTNK/VLCC_TD3_TCE|2000-Nov-24|93,111
OTNK/VLCC_TD3_TCE|2000-Nov-27|91,616
OTNK/VLCC_TD3_TCE|2000-Nov-28|90,693
OTNK/VLCC_TD3_TCE|2000-Nov-29|91,482
OTNK/VLCC_TD3_TCE|2000-Nov-30|91,700
OTNK/VLCC_TD3_TCE|2000-Dec-01|88,275
OTNK/VLCC_TD3_TCE|2000-Dec-04|87,133
OTNK/VLCC_TD3_TCE|2000-Dec-05|85,991
OTNK/VLCC_TD3_TCE|2000-Dec-06|81,994
OTNK/VLCC_TD3_TCE|2000-Dec-07|80,062
OTNK/VLCC_TD3_TCE|2000-Dec-08|80,062
OTNK/VLCC_TD3_TCE|2000-Dec-11|79,273
OTNK/VLCC_TD3_TCE|2000-Dec-12|79,844
OTNK/VLCC_TD3_TCE|2000-Dec-13|78,131
OTNK/VLCC_TD3_TCE|2000-Dec-14|76,989
OTNK/VLCC_TD3_TCE|2000-Dec-15|75,847
OTNK/VLCC_TD3_TCE|2000-Dec-18|76,418
OTNK/VLCC_TD3_TCE|2000-Dec-19|75,847
OTNK/VLCC_TD3_TCE|2000-Dec-20|75,276
OTNK/VLCC_TD3_TCE|2000-Dec-21|75,847
OTNK/VLCC_TD3_TCE|2000-Dec-22|75,276
OTNK/VLCC_TD3_TCE|2000-Dec-27|75,276
OTNK/VLCC_TD3_TCE|2000-Dec-28|75,276
OTNK/VLCC_TD3_TCE|2000-Dec-29|74,705
OTNK/VLCC_TD3_TCE|2001-Jan-02|73,906
OTNK/VLCC_TD3_TCE|2001-Jan-03|74,578
OTNK/VLCC_TD3_TCE|2001-Jan-04|73,234
OTNK/VLCC_TD3_TCE|2001-Jan-05|72,562
OTNK/VLCC_TD3_TCE|2001-Jan-08|69,873
OTNK/VLCC_TD3_TCE|2001-Jan-09|67,857
OTNK/VLCC_TD3_TCE|2001-Jan-10|65,840
OTNK/VLCC_TD3_TCE|2001-Jan-11|64,496
OTNK/VLCC_TD3_TCE|2001-Jan-12|63,151
OTNK/VLCC_TD3_TCE|2001-Jan-15|63,151
OTNK/VLCC_TD3_TCE|2001-Jan-16|62,479
OTNK/VLCC_TD3_TCE|2001-Jan-17|61,807
OTNK/VLCC_TD3_TCE|2001-Jan-18|59,790
OTNK/VLCC_TD3_TCE|2001-Jan-19|57,774
OTNK/VLCC_TD3_TCE|2001-Jan-22|57,102
OTNK/VLCC_TD3_TCE|2001-Jan-23|55,085
OTNK/VLCC_TD3_TCE|2001-Jan-24|50,380
OTNK/VLCC_TD3_TCE|2001-Jan-25|49,035
OTNK/VLCC_TD3_TCE|2001-Jan-26|49,035
OTNK/VLCC_TD3_TCE|2001-Jan-29|46,347
OTNK/VLCC_TD3_TCE|2001-Jan-30|44,330
OTNK/VLCC_TD3_TCE|2001-Jan-31|43,658
OTNK/VLCC_TD3_TCE|2001-Feb-01|43,658
OTNK/VLCC_TD3_TCE|2001-Feb-02|45,002
OTNK/VLCC_TD3_TCE|2001-Feb-05|46,347
OTNK/VLCC_TD3_TCE|2001-Feb-06|48,363
OTNK/VLCC_TD3_TCE|2001-Feb-07|48,363
OTNK/VLCC_TD3_TCE|2001-Feb-08|48,363
OTNK/VLCC_TD3_TCE|2001-Feb-09|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-12|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-13|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-14|49,708
OTNK/VLCC_TD3_TCE|2001-Feb-15|49,708
OTNK/VLCC_TD3_TCE|2001-Feb-16|49,708
OTNK/VLCC_TD3_TCE|2001-Feb-19|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-20|48,363
OTNK/VLCC_TD3_TCE|2001-Feb-21|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-22|49,708
OTNK/VLCC_TD3_TCE|2001-Feb-23|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-26|49,035
OTNK/VLCC_TD3_TCE|2001-Feb-27|48,363
OTNK/VLCC_TD3_TCE|2001-Feb-28|49,035
OTNK/VLCC_TD3_TCE|2001-Mar-01|49,708
OTNK/VLCC_TD3_TCE|2001-Mar-02|50,380
OTNK/VLCC_TD3_TCE|2001-Mar-05|51,052
OTNK/VLCC_TD3_TCE|2001-Mar-06|49,708
OTNK/VLCC_TD3_TCE|2001-Mar-07|51,052
OTNK/VLCC_TD3_TCE|2001-Mar-08|51,052
OTNK/VLCC_TD3_TCE|2001-Mar-09|51,724
OTNK/VLCC_TD3_TCE|2001-Mar-12|51,724
OTNK/VLCC_TD3_TCE|2001-Mar-13|53,069
OTNK/VLCC_TD3_TCE|2001-Mar-14|53,741
OTNK/VLCC_TD3_TCE|2001-Mar-15|54,413
OTNK/VLCC_TD3_TCE|2001-Mar-16|55,757
OTNK/VLCC_TD3_TCE|2001-Mar-19|56,429
OTNK/VLCC_TD3_TCE|2001-Mar-20|59,790
OTNK/VLCC_TD3_TCE|2001-Mar-21|58,827
OTNK/VLCC_TD3_TCE|2001-Mar-22|58,827
OTNK/VLCC_TD3_TCE|2001-Mar-23|57,483
OTNK/VLCC_TD3_TCE|2001-Mar-26|57,483
OTNK/VLCC_TD3_TCE|2001-Mar-27|56,811
OTNK/VLCC_TD3_TCE|2001-Mar-28|56,811
OTNK/VLCC_TD3_TCE|2001-Mar-29|56,811
OTNK/VLCC_TD3_TCE|2001-Mar-30|56,811
OTNK/VLCC_TD3_TCE|2001-Apr-02|56,138
OTNK/VLCC_TD3_TCE|2001-Apr-03|55,466
OTNK/VLCC_TD3_TCE|2001-Apr-04|55,466
OTNK/VLCC_TD3_TCE|2001-Apr-05|52,105
OTNK/VLCC_TD3_TCE|2001-Apr-06|51,887
OTNK/VLCC_TD3_TCE|2001-Apr-09|51,215
OTNK/VLCC_TD3_TCE|2001-Apr-10|49,870
OTNK/VLCC_TD3_TCE|2001-Apr-11|47,854
OTNK/VLCC_TD3_TCE|2001-Apr-12|47,854
OTNK/VLCC_TD3_TCE|2001-Apr-17|45,165
