Date,TCE
2000-Nov-29,"91,482"
2000-Nov-30,"91,700"
2000-Dec-01,"88,275"
2000-Dec-04,"87,133"
2000-Dec-05,"85,991"
2000-Dec-06,"81,994"
2000-Dec-07,"80,062"
2000-Dec-08,"80,062"
2000-Dec-11,"79,273"
2000-Dec-12,"79,844"
2000-Dec-13,"78,131"
2000-Dec-14,"76,989"
2000-Dec-15,"75,847"
2000-Dec-18,"76,418"
2000-Dec-19,"75,847"
2000-Dec-20,"75,276"
2000-Dec-21,"75,847"
2000-Dec-22,"75,276"
2000-Dec-27,"75,276"
2000-Dec-28,"75,276"
2000-Dec-29,"74,705"
2001-Jan-02,"73,906"
2001-Jan-03,"74,578"
2001-Jan-04,"73,234"
2001-Jan-05,"72,562"
2001-Jan-08,"69,873"
2001-Jan-09,"67,857"
2001-Jan-10,"65,840"
2001-Jan-11,"64,496"
2001-Jan-12,"63,151"
2001-Jan-15,"63,151"
2001-Jan-16,"62,479"
2001-Jan-17,"61,807"
2001-Jan-18,"59,790"
2001-Jan-19,"57,774"
2001-Jan-22,"57,102"
2001-Jan-23,"55,085"
2001-Jan-24,"50,380"
2001-Jan-25,"49,035"
2001-Jan-26,"49,035"
2001-Jan-29,"46,347"
2001-Jan-30,"44,330"
2001-Jan-31,"43,658"
2001-Feb-01,"43,658"
2001-Feb-02,"45,002"
2001-Feb-05,"46,347"
2001-Feb-06,"48,363"
2001-Feb-07,"48,363"
2001-Feb-08,"48,363"
2001-Feb-09,"49,035"
2001-Feb-12,"49,035"
2001-Feb-13,"49,035"
2001-Feb-14,"49,708"
2001-Feb-15,"49,708"
2001-Feb-16,"49,708"
2001-Feb-19,"49,035"
2001-Feb-20,"48,363"
2001-Feb-21,"49,035"
2001-Feb-22,"49,708"
2001-Feb-23,"49,035"
2001-Feb-26,"49,035"
2001-Feb-27,"48,363"
2001-Feb-28,"49,035"
2001-Mar-01,"49,708"
2001-Mar-02,"50,380"
2001-Mar-05,"51,052"
2001-Mar-06,"49,708"
2001-Mar-07,"51,052"
2001-Mar-08,"51,052"
2001-Mar-09,"51,724"
2001-Mar-12,"51,724"
2001-Mar-13,"53,069"
2001-Mar-14,"53,741"
2001-Mar-15,"54,413"
2001-Mar-16,"55,757"
2001-Mar-19,"56,429"
2001-Mar-20,"59,790"
2001-Mar-21,"58,827"
2001-Mar-22,"58,827"
2001-Mar-23,"57,483"
2001-Mar-26,"57,483"
2001-Mar-27,"56,811"
2001-Mar-28,"56,811"
2001-Mar-29,"56,811"
2001-Mar-30,"56,811"
2001-Apr-02,"56,138"
2001-Apr-03,"55,466"
2001-Apr-04,"55,466"
2001-Apr-05,"52,105"
2001-Apr-06,"51,887"
2001-Apr-09,"51,215"
2001-Apr-10,"49,870"
2001-Apr-11,"47,854"
2001-Apr-12,"47,854"
2001-Apr-17,"45,165"
2001-Apr-18,"45,165"
2001-Apr-19,"41,804"
2001-Apr-20,"39,788"
2001-Apr-23,"38,752"
2001-Apr-24,"38,007"
2001-Apr-25,"33,156"
2001-Apr-26,"25,762"
2001-Apr-27,"26,434"
2001-Apr-30,"25,090"
2001-May-01,"25,017"
2001-May-02,"26,289"
2001-May-03,"26,888"
2001-May-04,"28,832"
2001-May-08,"27,415"
2001-May-09,"27,342"
2001-May-10,"27,269"
2001-May-11,"27,342"
2001-May-14,"27,415"
2001-May-15,"26,815"
2001-May-16,"26,216"
2001-May-17,"25,616"
2001-May-18,"25,689"
2001-May-21,"25,090"
2001-May-22,"27,179"
2001-May-23,"27,924"
2001-May-24,"28,669"
2001-May-25,"28,742"
2001-May-29,"28,814"
2001-May-30,"28,887"
2001-May-31,"28,288"
2001-Jun-01,"28,361"
2001-Jun-04,"27,761"
2001-Jun-05,"27,162"
2001-Jun-06,"27,235"
2001-Jun-07,"26,635"
2001-Jun-08,"26,708"
2001-Jun-11,"24,092"
2001-Jun-12,"22,820"
2001-Jun-13,"22,221"
2001-Jun-14,"20,277"
2001-Jun-15,"17,661"
2001-Jun-18,"17,062"
2001-Jun-19,"15,790"
2001-Jun-20,"15,045"
2001-Jun-21,"14,972"
2001-Jun-22,"14,900"
2001-Jun-25,"14,827"
2001-Jun-26,"14,754"
2001-Jun-27,"14,681"
2001-Jun-28,"15,281"
2001-Jun-29,"15,208"
2001-Jul-02,"17,152"
2001-Jul-03,"17,079"
2001-Jul-04,"17,678"
2001-Jul-05,"18,351"
2001-Jul-06,"18,351"
2001-Jul-09,"18,351"
2001-Jul-10,"18,351"
2001-Jul-11,"21,039"
2001-Jul-12,"21,039"
2001-Jul-13,"21,712"
2001-Jul-16,"23,056"
2001-Jul-17,"23,692"
2001-Jul-18,"23,655"
2001-Jul-19,"23,619"
2001-Jul-20,"23,583"
2001-Jul-23,"23,546"
2001-Jul-24,"24,182"
2001-Jul-25,"24,818"
2001-Jul-26,"24,781"
2001-Jul-27,"24,745"
2001-Jul-30,"24,709"
2001-Jul-31,"22,656"
2001-Aug-01,"21,947"
2001-Aug-02,"21,911"
2001-Aug-03,"21,874"
2001-Aug-06,"21,838"
2001-Aug-07,"21,802"
2001-Aug-08,"19,749"
2001-Aug-09,"17,696"
2001-Aug-10,"16,315"
2001-Aug-13,"14,262"
2001-Aug-14,"14,226"
2001-Aug-15,"14,189"
2001-Aug-16,"14,153"
2001-Aug-17,"15,461"
2001-Aug-20,"21,474"
2001-Aug-21,"23,454"
2001-Aug-22,"25,434"
2001-Aug-23,"26,742"
2001-Aug-24,"28,723"
2001-Aug-28,"28,014"
2001-Aug-29,"27,978"
2001-Aug-30,"27,941"
2001-Aug-31,"27,233"
2001-Sep-03,"27,196"
2001-Sep-04,"27,160"
2001-Sep-05,"27,123"
2001-Sep-06,"27,087"
2001-Sep-07,"26,379"
2001-Sep-10,"27,014"
2001-Sep-11,"33,700"
2001-Sep-12,"35,008"
2001-Sep-13,"38,496"
2001-Sep-14,"42,656"
2001-Sep-17,"42,112"
2001-Sep-18,"40,895"
2001-Sep-19,"41,022"
2001-Sep-20,"45,855"
2001-Sep-21,"47,998"
2001-Sep-24,"48,126"
2001-Sep-25,"48,253"
2001-Sep-26,"47,708"
2001-Sep-27,"47,164"
2001-Sep-28,"47,291"
2001-Oct-01,"45,983"
2001-Oct-02,"45,983"
2001-Oct-03,"45,311"
2001-Oct-04,"44,094"
2001-Oct-05,"43,549"
2001-Oct-08,"40,315"
2001-Oct-09,"39,098"
2001-Oct-10,"38,513"
2001-Oct-11,"37,929"
2001-Oct-12,"37,344"
2001-Oct-15,"34,742"
2001-Oct-16,"32,813"
2001-Oct-17,"28,867"
2001-Oct-18,"26,266"
2001-Oct-19,"25,009"
2001-Oct-22,"23,752"
2001-Oct-23,"21,150"
2001-Oct-24,"19,893"
2001-Oct-25,"17,964"
2001-Oct-26,"17,379"
2001-Oct-29,"17,467"
2001-Oct-30,"16,882"
2001-Oct-31,"16,297"
2001-Nov-01,"16,384"
2001-Nov-02,"16,472"
2001-Nov-05,"15,215"
2001-Nov-06,"14,630"
2001-Nov-07,"14,045"
2001-Nov-08,"14,132"
2001-Nov-09,"14,219"
2001-Nov-12,"14,307"
2001-Nov-13,"13,562"
2001-Nov-14,"13,504"
2001-Nov-15,"12,159"
2001-Nov-16,"12,159"
2001-Nov-19,"11,487"
2001-Nov-20,"11,487"
2001-Nov-21,"12,831"
2001-Nov-22,"12,159"
2001-Nov-23,"12,831"
2001-Nov-26,"12,831"
2001-Nov-27,"12,123"
2001-Nov-28,"12,759"
2001-Nov-29,"16,083"
2001-Nov-30,"17,391"
2001-Dec-03,"16,683"
2001-Dec-04,"16,646"
2001-Dec-05,"16,610"
2001-Dec-06,"15,901"
2001-Dec-07,"15,865"
2001-Dec-10,"15,829"
2001-Dec-11,"15,792"
2001-Dec-12,"17,100"
2001-Dec-13,"17,736"
2001-Dec-14,"17,027"
2001-Dec-17,"15,647"
2001-Dec-18,"15,610"
2001-Dec-19,"14,902"
2001-Dec-20,"14,865"
2001-Dec-21,"14,157"
2001-Dec-27,"14,120"
2001-Dec-28,"14,756"
2002-Jan-02,"13,386"
2002-Jan-03,"13,350"
2002-Jan-04,"12,658"
2002-Jan-07,"12,622"
2002-Jan-08,"11,930"
2002-Jan-09,"11,893"
2002-Jan-10,"13,824"
2002-Jan-11,"19,033"
2002-Jan-14,"20,308"
2002-Jan-15,"19,616"
2002-Jan-16,"20,891"
2002-Jan-17,"21,510"
2002-Jan-18,"21,474"
2002-Jan-21,"21,437"
2002-Jan-22,"21,401"
2002-Jan-23,"22,020"
2002-Jan-24,"22,639"
2002-Jan-25,"21,947"
2002-Jan-28,"21,911"
2002-Jan-29,"21,219"
2002-Jan-30,"20,527"
2002-Jan-31,"20,490"
2002-Feb-01,"19,871"
2002-Feb-04,"19,215"
2002-Feb-05,"19,215"
2002-Feb-06,"19,215"
2002-Feb-07,"18,560"
2002-Feb-08,"16,593"
2002-Feb-11,"15,937"
2002-Feb-12,"15,937"
2002-Feb-13,"15,063"
2002-Feb-14,"14,407"
2002-Feb-15,"14,407"
2002-Feb-18,"14,407"
2002-Feb-19,"14,407"
2002-Feb-20,"14,407"
2002-Feb-21,"13,752"
2002-Feb-22,"13,752"
2002-Feb-25,"14,407"
2002-Feb-26,"13,752"
2002-Feb-27,"13,752"
2002-Feb-28,"13,096"
2002-Mar-01,"13,096"
2002-Mar-04,"11,785"
2002-Mar-05,"11,129"
2002-Mar-06,"11,129"
2002-Mar-07,"11,129"
2002-Mar-08,"11,056"
2002-Mar-11,"10,328"
2002-Mar-12,"10,255"
2002-Mar-13,"10,182"
2002-Mar-14,"10,765"
2002-Mar-15,"10,037"
2002-Mar-18,"9,964"
2002-Mar-19,"9,891"
2002-Mar-20,"9,818"
2002-Mar-21,"9,090"
2002-Mar-22,"9,017"
2002-Mar-25,"8,945"
2002-Mar-26,"8,872"
2002-Mar-27,"8,799"
2002-Mar-28,"8,726"
2002-Apr-02,"7,998"
2002-Apr-03,"7,269"
2002-Apr-04,"6,541"
2002-Apr-05,"5,812"
2002-Apr-08,"5,084"
2002-Apr-09,"4,938"
2002-Apr-10,"4,938"
2002-Apr-11,"5,594"
2002-Apr-12,"4,938"
2002-Apr-15,"4,938"
2002-Apr-16,"4,938"
2002-Apr-17,"4,938"
2002-Apr-18,"4,938"
2002-Apr-19,"4,938"
2002-Apr-22,"4,938"
2002-Apr-23,"4,938"
2002-Apr-24,"5,594"
2002-Apr-25,"6,250"
2002-Apr-26,"6,905"
2002-Apr-29,"8,217"
2002-Apr-30,"10,839"
2002-May-01,"10,839"
2002-May-02,"11,495"
2002-May-03,"11,495"
