Sector:,Liquified Propane Gas (LPG),VSGC-SR Master Rates,,,
Input Sheet:,Rate Data,,,,
Fleet:,VSGC-Semi Refridgerated Gas Carriers,,,,
Frequency:,Weekly (Friday),,,,
Quandl:,LPG_R/SGC-SR,,,,
,,,,,
Conventions,,,,,
  Data are as of close of business on Fridays.,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,
  A price of $0 normally means no data for that date.,,,,,
,,,,,
,,,,,
Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
23-Feb-05,"$14,833",$0,$0,$0, 
2-Mar-05,$0,$0,$0,$0, 
9-Mar-05,$0,$0,$0,$0, 
16-Mar-05,$0,$0,$0,$0, 
23-Mar-05,$0,$0,$0,$0, 
30-Mar-05,$0,$0,$0,$0, 
6-Apr-05,$0,$0,$0,$0, 
13-Apr-05,$0,$0,$0,$0, 
20-Apr-05,$0,$0,$0,$0, 
27-Apr-05,$0,$0,$0,$0, 
4-May-05,$0,$0,$0,$0, 
11-May-05,$0,$0,$0,$0, 
18-May-05,"$29,000",$0,$0,$0, 
25-May-05,"$29,000",$0,$0,$0, 
1-Jun-05,"$28,333",$0,$0,$0, 
8-Jun-05,"$28,333",$0,$0,$0, 
15-Jun-05,"$28,333",$0,$0,$0, 
22-Jun-05,"$28,333",$0,$0,$0, 
29-Jun-05,"$29,333",$0,$0,$0, 
6-Jul-05,"$29,333",$0,$0,$0, 
13-Jul-05,"$29,333",$0,$0,$0, 
20-Jul-05,"$29,333",$0,$0,$0, 
27-Jul-05,"$29,333",$0,$0,$0, 
3-Aug-05,"$29,333",$0,$0,$0, 
10-Aug-05,"$29,333",$0,$0,$0, 
17-Aug-05,"$29,000",$0,$0,$0, 
24-Aug-05,"$29,000",$0,$0,$0, 
31-Aug-05,"$29,000",$0,$0,$0, 
7-Sep-05,"$29,167",$0,$0,$0, 
14-Sep-05,"$29,167",$0,$0,$0, 
21-Sep-05,"$29,167",$0,$0,$0, 
28-Sep-05,"$29,167",$0,$0,$0, 
5-Oct-05,"$29,167",$0,$0,$0, 
12-Oct-05,"$29,167",$0,$0,$0, 
19-Oct-05,"$29,167",$0,$0,$0, 
26-Oct-05,"$29,167",$0,$0,$0, 
2-Nov-05,"$30,000",$0,$0,$0, 
9-Nov-05,"$30,667",$0,$0,$0, 
16-Nov-05,"$30,667",$0,$0,$0, 
23-Nov-05,"$30,667",$0,$0,$0, 
30-Nov-05,"$30,667",$0,$0,$0, 
7-Dec-05,"$30,333",$0,$0,$0, 
14-Dec-05,"$30,333",$0,$0,$0, 
21-Dec-05,"$30,333",$0,$0,$0, 
28-Dec-05,"$30,333",$0,$0,$0, 
4-Jan-06,"$30,333",$0,$0,$0, 
11-Jan-06,"$30,000",$0,$0,$0, 
18-Jan-06,"$29,667",$0,$0,$0, 
25-Jan-06,"$29,000",$0,$0,$0, 
1-Feb-06,"$28,333",$0,$0,$0, 
8-Feb-06,"$28,333",$0,$0,$0, 
15-Feb-06,"$28,333",$0,$0,$0, 
22-Feb-06,"$28,333",$0,$0,$0, 
1-Mar-06,"$28,333",$0,$0,$0, 
8-Mar-06,"$28,333",$0,$0,$0, 
15-Mar-06,"$28,333",$0,$0,$0, 
22-Mar-06,$0,$0,$0,$0, 
29-Mar-06,"$27,667",$0,$0,$0, 
5-Apr-06,"$26,667",$0,$0,$0, 
