Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources,,
"June 9, 2010","$20,667",$0,$0,$0,,,
"June 16, 2010","$20,667",$0,$0,$0,,,
"June 23, 2010","$20,667",$0,$0,$0,,,
"June 30, 2010","$20,333",$0,$0,$0,,,
"July 7, 2010","$20,333",$0,$0,$0,,,
"July 14, 2010",#N/A,$0,$0,$0,,,
"July 21, 2010","$20,000",$0,$0,$0,,,
"July 28, 2010","$20,000",$0,$0,$0,,,
"August 4, 2010","$20,000",$0,$0,$0,,,
"August 11, 2010","$19,000",$0,$0,$0,,,
"August 18, 2010","$19,000",$0,$0,$0,,,
"August 25, 2010","$19,333",$0,$0,$0,,,
"September 1, 2010","$19,333",$0,$0,$0,,,
"September 8, 2010","$20,000",$0,$0,$0,,,
"September 15, 2010","$20,000",$0,$0,$0,,,
"September 22, 2010","$20,000",$0,$0,$0,,,
"September 29, 2010","$20,000",$0,$0,$0,,,
"October 6, 2010","$20,333",$0,$0,$0,,,
"October 13, 2010","$20,333",$0,$0,$0,,,
"October 20, 2010","$19,667",$0,$0,$0,,,
"October 27, 2010","$19,667",$0,$0,$0,,,
"November 3, 2010","$19,667",$0,$0,$0,,,
"November 10, 2010","$20,000",$0,$0,$0,,,
"November 17, 2010","$20,000",$0,$0,$0,,,
"November 24, 2010","$20,000",$0,$0,$0,,,
"December 1, 2010","$19,333",$0,$0,$0,,,
"December 8, 2010","$19,333",$0,$0,$0,,,
"December 15, 2010","$19,333",$0,$0,$0,,,
"December 22, 2010","$19,667",$0,$0,$0,,,
"December 29, 2010","$20,000",$0,$0,$0,,,
"January 5, 2011","$20,000",$0,$0,$0,,,
"January 12, 2011","$20,000",$0,$0,$0,,,
"January 19, 2011","$20,000",$0,$0,$0,,,
"January 26, 2011","$20,000",$0,$0,$0,,,
"February 2, 2011","$20,000",$0,$0,$0,,,
"February 9, 2011","$19,000",$0,$0,$0,,,
"February 16, 2011","$19,000",$0,$0,$0,,,
"February 23, 2011",#N/A,$0,$0,$0,,,
"March 2, 2011","$19,000",$0,$0,$0,,,
"March 9, 2011","$19,000",$0,$0,$0,,,
"March 16, 2011","$19,000",$0,$0,$0,,,
"March 23, 2011","$19,000",$0,$0,$0,,,
"March 30, 2011","$19,000",$0,$0,$0,,,
"April 6, 2011","$19,000",$0,$0,$0,,,
"April 13, 2011","$19,000",$0,$0,$0,,,
"April 20, 2011","$19,000",$0,$0,$0,,,
"April 27, 2011","$19,000",$0,$0,$0,,,
"May 4, 2011","$19,000",$0,$0,$0,,,
"May 11, 2011","$19,000",$0,$0,$0,,,
"May 18, 2011","$18,667",$0,$0,$0,,,
"May 25, 2011",#N/A,$0,$0,$0,,,
"June 1, 2011","$18,667",$0,$0,$0,,,
"June 8, 2011","$18,667",$0,$0,$0,,,
"June 15, 2011","$18,333",$0,$0,$0,,,
"June 22, 2011","$18,667",$0,$0,$0,,,
"June 29, 2011",#N/A,$0,$0,$0,,,
"July 6, 2011","$18,667",$0,$0,$0,,,
"July 13, 2011","$19,000",$0,$0,$0,,,
"July 20, 2011","$19,000",$0,$0,$0,,,
"July 27, 2011","$19,000",$0,$0,$0,,,
"August 3, 2011","$19,000",$0,$0,$0,,,
"August 10, 2011","$19,000",$0,$0,$0,,,
"August 17, 2011","$18,333",$0,$0,$0,,,
"August 24, 2011","$18,333",$0,$0,$0,,,
"August 31, 2011","$18,333",$0,$0,$0,,,
"September 7, 2011","$18,333",$0,$0,$0,,,
"September 14, 2011","$18,333",$0,$0,$0,,,
"September 21, 2011","$19,000",$0,$0,$0,,,
"September 28, 2011","$19,000",$0,$0,$0,,,
"October 5, 2011","$18,333",$0,$0,$0,,,
"October 12, 2011","$17,667",$0,$0,$0,,,
"October 19, 2011","$17,667",$0,$0,$0,,,
"October 26, 2011","$17,667",$0,$0,$0,,,
"November 2, 2011","$17,667",$0,$0,$0,,,
"November 9, 2011","$17,667",$0,$0,$0,,,
"November 16, 2011","$17,333",$0,$0,$0,,,
"November 23, 2011","$17,333",$0,$0,$0,,,
"November 30, 2011","$17,000",$0,$0,$0,,,
"December 7, 2011","$17,000",$0,$0,$0,,,
"December 14, 2011","$17,333",$0,$0,$0,,,
"December 21, 2011","$17,333",$0,$0,$0,,,
"December 28, 2011","$17,333",$0,$0,$0,,,
"January 4, 2012",#N/A,$0,$0,$0,,,
"January 11, 2012","$17,667",$0,$0,$0,,,
"January 18, 2012","$17,667",$0,$0,$0,,,
"January 25, 2012","$17,667",$0,$0,$0,,,
"February 1, 2012","$17,667",$0,$0,$0,,,
"February 8, 2012","$17,667",$0,$0,$0,,,
"February 15, 2012","$17,667",$0,$0,$0,,,
"February 22, 2012",#N/A,$0,$0,$0,,,
"February 29, 2012",#N/A,$0,$0,$0,,,
"March 7, 2012","$17,667",$0,$0,$0,,,
"March 14, 2012","$17,667",$0,$0,$0,,,
"March 21, 2012","$17,667",$0,$0,$0,,,
"March 28, 2012","$17,667",$0,$0,$0,,,
"April 4, 2012","$17,667",$0,$0,$0,,,
